course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
3867,TCF - Academic and Vocational Programs ,en-US,1,1,2,"Information,Resources,Restricted_Visibility,TCF_KDOC_ONLY"
1157,ABC,en-US,1,2,3,"Earn,Learn"
3995,SCF - Human Resources,en-US,3,3,6,"Information,Resources,Restricted_Visibility,STOCKTON_KDOC_ONLY"
3682,Our Daily Bread - October-December 2018,en-US,5,94,280,"COURSE,Christian,Christianity,Earn,Inspiration,Learn,Life,Read,Reading,Religion,Religion_Spirituality,Religious,Spiritual,Spirituality"
2801,Tutor Training: Working with English as a Second Language Students,en-US,1,7,21,"Academic,Adult_Basic_Education,COURSE,Career_Exploration,Content_Reference,Course_Length_1,Earn,Job_Search,Job_Skills,Jobs,Jobs_Finance,Language_Arts,Learn,Life,Picture_Media,Text_Item,Time_Completion_Low,Workplace_Skills"
3130,Humboldt County Survey,en-US,1,1,35,"Assessment_Essay,Assessment_Mult_Choice,Assessment_Survey,Course_Length_1,Information,Level_All,Restricted_Visibility,SURVEY,State_Specific_Course,Time_Completion_Low,humboldt_only"
4128,Ruth: Awaiting a Willing and Able Redeemer,en-US,1,1,2,"Church,Earn,Greensboro_Sermons,Life,Restricted_Visibility,Spirituality,Video_Sermons,Watch,guilford_only"
4041,LCMHF  - Religious Services,en-US,2,2,8,"Information,LARNED_KDOC_ONLY,Resources,Restricted_Visibility"
3846,"KJCC - Communication, Mail, and Visiting",en-US,2,2,4,"Information,KJCC_KDOC_ONLY,Resources,Restricted_Visibility"
967,Thinking for the Future - CBT,en-US,38,113,288,"Anger_Management,Assessment_Essay,Assessment_Mult_Choice,Assessment_Reflection,COURSE,Communication,Content_Performance,Coping,Course_Length_3,Depression,Earn,Goals,Health_Recovery,Learn,Level_Intermediate,Life,Making_Changes,Mania,Mental_Health,Mindfulness,PTSD,Personal_Growth,Psychosis,Social_Skills,Substance_Abuse,Text_Item,Time_Completion_High,Treatment_Oriented,Values,Video_Item"
1493,Comprensión de Lecura: A Punta de Cuchillo,en-US,15,30,105,"Earn,Learn"
2563,Reading and Writing Mini-lessons,en-US,11,90,606,"Academic,Adult_Basic_Education,Assessment_Essay,Assessment_Mult_Choice,Assessment_Short_Answer,Content_Performance,Course_Length_2,Earn,Effective_Writing,Language_Arts,Learn,Level_All,Life,PDF_Reading,Picture_Media,Reading,Reading_Writing,Text_Item,Time_Completion_Low,Writing"
2720,Utah Driver's License [C1 Version],en-US,6,17,83,"Assessment_Mult_Choice,CDL,Commercial_Driver's_License,Content_Reference,Course_Length_2,Driving,Job_Skills,Jobs_Finance,Legal,Level_Intermediate,Outcome_Certificate,PDF_Reading,Picture_Media,Reentry_Community,Resources,Restricted_Visibility,State_Specific_Course,Text_Item,Time_Completion_Medium"
1029,Jewish Learning: Chumash Themes ,en-US,23,45,133,"COURSE,Content_Reference,Course_Length_3,Earn,Learn,Level_Advanced,Life,Reference,Religious_Study,Spiritual,Spirituality,Text_Item,Time_Completion_High,Video_Item"
3964,Health Care Services,en-US,2,2,6,"Information,Resources,Restricted_Visibility,WINFIELD_KDOC_ONLY,WWRF_KDOC_ONLY"
3902,"LCF - Administration, Organization and Management",en-US,12,12,12,"Information,LANSING_KDOC_ONLY,Resources,Restricted_Visibility"
4207,TCF - Personnel ,en-US,7,7,14,"Information,Resources,Restricted_Visibility,TCF_KDOC_ONLY"
4022,LCMHF - Personnel,en-US,6,6,28,"Information,LARNED_KDOC_ONLY,Resources,Restricted_Visibility"
4352," The Catechetical Ministry, Lesson 1",en-US,7,31,111,"CDU,Earn,Information,Learn,Religion,Religion_Spirituality,Religious_Study,Spirituality,no_kdoc,no_mdoc"
1247,Social Studies - Geography (CN),en-US,7,64,194,"Earn,Learn"
4210,TCF - Management Information and Research,en-US,2,2,4,"Information,Resources,Restricted_Visibility,TCF_KDOC_ONLY"
4042,LCMHF  - Release Preparation and Temporary Release,en-US,1,1,10,"Information,LARNED_KDOC_ONLY,Resources,Restricted_Visibility"
3679,Profession of Faith -  Lesson Five: Section Three,en-US,9,39,117,"CDU,Earn,Learn,Religion,Religion_Spirituality,Religious_Study,Spirituality"
