course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
3682,Our Daily Bread - October-December 2018,en-US,5,94,280,"COURSE-37,Christian-1301,Christianity-503,Earn-995,Inspiration-176,Learn-524,Life-872,Read-368,Reading-692,Religion-1040,Religion_Spirituality-449,Religious-470,Spiritual-2158,Spirituality-971"
2825,Writing Prompts: Fiction,en-US,10,69,149,"Academic-437,Adult_Basic_Education-1025,Assessment_Essay-2200,COURSE-37,Content_Performance-2230,Course_Length_2-2266,Earn-995,Effective_Writing-2419,Family_Community-2590,Job_Skills-734,Jobs-1127,Jobs_Finance-635,Language_Arts-143,Learn-524,Life-872,PDF_Reading-2167,Personal_Growth-2593,Picture_Media-2188,Reading_Writing-2404,Reentry_Community-2155,Text_Item-2161,Time_Completion_Low-2311,Writing-716"
2281,Level 4 Reading: Freedom's Story 1,en-US,4,26,63,"Academic-437,African_American-1412,Assessment_Mult_Choice-2203,Assessment_Short_Answer-2197,Black_History-1457,COURSE-37,Content_Performance-2230,Course_Length_1-2263,Earn-995,English_Language_Arts-140,GED-77,GED_prep-3595,Language_Arts-143,Learn-524,Level_Advanced-2260,Level_Literacy_4-2248,Picture_Media-2188,Reading-692,Reading_Practice-2422,Reading_Writing-2404,Text_Item-2161,Time_Completion_Medium-2314"
905,PMI: Path of Freedom,en-US,13,117,211,"Assessment_Mult_Choice-2203,COURSE-37,Content_Performance-2230,Coping-2632,Course_Length_2-2266,Earn-995,Health_Recovery-2149,Jail-2656,Learn-524,Level_Intermediate-2257,Life-872,Making_Changes-731,Meditation-782,Mental_Health-1916,Personal_Growth-2593,Prison-1343,Recovery-770,Reentry_Community-2155,Spiritual-2158,Text_Item-2161,Time_Completion_Medium-2314,Treatment_Oriented-2455,Video_Item-2185"
3130,Humboldt County Survey,en-US,1,1,35,"Assessment_Essay-2200,Assessment_Mult_Choice-2203,Assessment_Survey-2218,Course_Length_1-2263,Information-2071,Level_All-2251,Restricted_Visibility-2077,SURVEY-40,State_Specific_Course-1525,Time_Completion_Low-2311,humboldt_only-3545"
4021,LCMHF - Fiscal Management,en-US,8,8,22,"Information-2071,LARNED_KDOC_ONLY-3574,Resources-2437,Restricted_Visibility-2077"
2801,Tutor Training: Working with English as a Second Language Students,en-US,1,7,21,"Academic-437,Adult_Basic_Education-1025,COURSE-37,Career_Exploration-413,Content_Reference-2233,Course_Length_1-2263,Earn-995,Job_Search-488,Job_Skills-734,Jobs-1127,Jobs_Finance-635,Language_Arts-143,Learn-524,Life-872,Picture_Media-2188,Text_Item-2161,Time_Completion_Low-2311,Workplace_Skills-2431"
3346,Optional Reading: Christian Prayer Part II,en-US,1,1,2,"Bible-1304,CDU-3575,COURSE-37,Catholic-1355,Content_Reference-2233,Course_Length_1-2263,Earn-995,Learn-524,Life-872,Picture_Media-2188,Religion-1040,Religion_Spirituality-449,Religious-470,Spiritual-2158,Spirituality-971,Time_Completion_Medium-2314"
3956,zzWCF - Human Resources,en-US,1,1,2,"Information-2071,Resources-2437,Restricted_Visibility-2077,WINFIELD_KDOC_ONLY-3570"
3760,Ephesians: Grace Changes Everything,en-US,1,1,3,"Earn-995,Greensboro_Sermons-2011,Learn-524,Life-872,Restricted_Visibility-2077,Spirituality-971,guilford_only-3581,highpoint_only-3582"
