id,user_id,facility_id,created_at,updated_at
100294,2777,5,2019-01-15 08:29:43.21,2019-01-15 08:29:43.21
100324,2777,163,2019-01-15 08:29:43.259,2019-01-15 08:29:43.259
100473,2598,286,2019-01-15 08:37:23.652,2019-01-15 08:37:23.652
100503,2598,568,2019-01-15 08:37:23.70,2019-01-15 08:37:23.70
100533,2598,607,2019-01-15 08:37:23.747,2019-01-15 08:37:23.747
100563,2598,460,2019-01-15 08:37:23.796,2019-01-15 08:37:23.796
100593,2598,178,2019-01-15 08:37:23.852,2019-01-15 08:37:23.852
100776,2356,505,2019-01-15 08:38:53.609,2019-01-15 08:38:53.609
100806,2356,439,2019-01-15 08:38:53.663,2019-01-15 08:38:53.663
100836,2356,199,2019-01-15 08:38:53.711,2019-01-15 08:38:53.711
100866,2356,316,2019-01-15 08:38:53.758,2019-01-15 08:38:53.758
101286,2827,655,2019-01-15 16:56:35.989,2019-01-15 16:56:35.989
101322,2863,613,2019-01-15 16:56:36.265,2019-01-15 16:56:36.265
101352,2893,613,2019-01-15 16:56:36.493,2019-01-15 16:56:36.493
101383,2924,667,2019-01-15 16:56:36.73,2019-01-15 16:56:36.73
101425,2966,664,2019-01-15 16:56:37.051,2019-01-15 16:56:37.051
101502,3043,667,2019-01-15 17:03:33.735,2019-01-15 17:03:33.735
102511,2987,652,2019-01-17 13:10:24.109,2019-01-17 13:10:24.109
102549,3089,613,2019-01-17 16:42:53.955,2019-01-17 16:42:53.955
103536,2619,679,2019-01-25 12:40:36.53,2019-01-25 12:40:36.53
104116,3088,607,2019-02-04 18:18:40.357,2019-02-04 18:18:40.357
104177,3169,679,2019-02-06 14:38:13.155,2019-02-06 14:38:13.155
104209,3239,643,2019-02-07 18:49:29.853,2019-02-07 18:49:29.853
104242,3145,679,2019-02-11 12:42:40.179,2019-02-11 12:42:40.179
104820,3308,24,2019-02-25 15:43:22.717,2019-02-25 15:43:22.717
105112,3332,643,2019-03-05 19:19:26.432,2019-03-05 19:19:26.432
105455,3357,649,2019-03-12 12:10:14.313,2019-03-12 12:10:14.313
106118,3361,592,2019-03-13 15:10:01.602,2019-03-13 15:10:01.602
106148,3361,637,2019-03-13 15:10:01.681,2019-03-13 15:10:01.681
106178,3361,454,2019-03-13 15:10:01.762,2019-03-13 15:10:01.762
106208,3361,130,2019-03-13 15:10:01.851,2019-03-13 15:10:01.851
106666,3084,682,2019-03-26 14:33:25.558,2019-03-26 14:33:25.558
106706,3421,683,2019-04-01 15:37:51.103,2019-04-01 15:37:51.103
108395,3460,646,2019-04-23 14:49:38.541,2019-04-23 14:49:38.541
108562,463,511,2019-04-24 15:06:15.003,2019-04-24 15:06:15.003
108592,463,418,2019-04-24 15:06:15.059,2019-04-24 15:06:15.059
108622,463,433,2019-04-24 15:06:15.115,2019-04-24 15:06:15.115
108652,463,550,2019-04-24 15:06:15.171,2019-04-24 15:06:15.171
109133,2464,286,2019-05-01 17:37:14.491,2019-05-01 17:37:14.491
109163,2464,568,2019-05-01 17:37:14.54,2019-05-01 17:37:14.54
109193,2464,607,2019-05-01 17:37:14.59,2019-05-01 17:37:14.59
109223,2464,463,2019-05-01 17:37:14.639,2019-05-01 17:37:14.639
109253,2464,163,2019-05-01 17:37:14.719,2019-05-01 17:37:14.719
109283,2610,280,2019-05-01 17:37:40.342,2019-05-01 17:37:40.342
109313,2610,40,2019-05-01 17:37:40.391,2019-05-01 17:37:40.391
109343,2610,325,2019-05-01 17:37:40.44,2019-05-01 17:37:40.44
109373,2610,427,2019-05-01 17:37:40.488,2019-05-01 17:37:40.488
110176,3413,352,2019-05-09 09:03:25.301,2019-05-09 09:03:25.301
110708,3500,598,2019-05-17 11:25:19.281,2019-05-17 11:25:19.281
111280,2789,523,2019-05-23 13:16:03.502,2019-05-23 13:16:03.502
111310,2789,622,2019-05-23 13:16:03.579,2019-05-23 13:16:03.579
111340,2789,376,2019-05-23 13:16:03.63,2019-05-23 13:16:03.63
111370,2789,133,2019-05-23 13:16:03.684,2019-05-23 13:16:03.684
